objectid,title,filename,creator,genre,date,subject,description,filesize,fomat,identifier,display_template,rights,rights statement
cnf000,Final Reflection Manuscript,cnf000_draftedcollection_miller.pdf,"Miller, Ashley",Creative non-fiction,2023,Autobiography; Childhood; Adolescence;  Mental Illness; Fathers;,The compilation of files with a reflection written for the undergrad course the creative non-fiction pieces were initially written. ,143 KB,application/pdf,cnf000_draftedcollection_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf001,"""Candy""",cnf001_candy_miller.pdf,"Miller, Ashley",Creative non-fiction,2023,Family; Memories; Grandparents; Homesick,Short story about my family and memories. ,42.3 KB,application/pdf,cnf001_candy_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf002,"""Aliens""",cnf002_aliens_miller.pdf,"Miller, Ashley",Creative non-fiction,2023,Fathers; Aliens; Belief ,Short story about my dad's obsession with outer space. ,55.6 KB,application/pdf,cnf002_aliens_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf003,"""Bike""",cnf003_bike_miller.pdf,"Miller, Ashley",Creative non-fiction,2023,Fathers; Growing up; Lessons,Short story about the my childhood bike crash and how my dad never let me be weak.,38.0 KB,application/pdf,cnf003_bike_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf004,"""Shannonogains""",cnf004_shannonogains_miller.pdf,"Miller, Ashley",Creative non-fiction,2023,Fathers; Accidents; ,Short story about my father's accident-prone tendencies. ,44.0 KB,application/pdf,cnf004_shannonogains_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf005,"""Room""",cnf005_room_miller.pdf,"Miller, Ashley",Creative non-fiction,2023,Depression; Loneliess; Homesickness,Short story about depression and frustration.,47.1 KB,application/pdf,cnf005_room_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf006,"""Names""",cnf006_names_miller.pdf,"Miller, Ashley",Creative non-fiction,2023,Family; Names; Introductions,Short story about names and most people's intense distaste for their own.,52.5 KB,application/pdf,cnf006_names_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf007,"""Truck Stop""",cnf007_truckstop_miller.pdf,"Miller, Ashley",Creative non-fiction,2023,Work; Customers; Rudeness; Purpose,Short story about the turmoil of being employed at a small town truck stop. ,58.6 KB,application/pdf,cnf007_truckStop_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf008,"""Welcome""",cnf008_welcome_miller.pdf,"Miller, Ashley",Creative non-fiction,2023,Fathers; Daughters; Parenthood,Short story about the birth of myself and my place in the world as an accident.,37.5 KB,application/pdf,cnf008_welcome_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf009,"""Grandma Before the Grand""",cnf009_grandma_miller.pdf,"Miller, Ashley",Creative non-fiction,2023,Grandmothers; Family history; ,Short story about my grandma before she donned the name Grandma. ,57.4 KB,application/pdf,cnf009_grandma_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
fic001,"""Puck""",fic001_puck_miller.pdf,"Miller, Ashley",Fiction_Urban Fantasy,2022,Fairies; Family; Self-worth;,A work-in-progress file of my first urban fantasy novel. It is only the first page because I fear someone stealing my ideas. ,29.7 KB,application/pdf,fic001_puck_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
pic001,My Dad,pic001_shannony.jpeg,"Miller, Phyllis",,1989,,I've always said my dad is my only parent...obviously genetics agree.,4.23 MB,image/jpeg,pic001_shannony,image,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
pic002,Grandma's House,pic002_grandmas.jpeg,"Miller, Ashley",,2004,,Old photo of my dad and I outside my grandmother's house.,2.56 MB,image/jpeg,pic002_grandmas,image,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
pic003,Generations Past,pic003_usery.jpeg,"Miller, Ashley",,2019,,One of the only photos of my grandma's ancestors that exists. ,2.97 MB,image/jpeg,pic003_usery,image,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
pic004,Visual of Room,pic004_room.jpeg,"Miller, Ashley",,2024,,"Photo of the room I return to in my piece ""Room.""",3.08 MB,image/jpeg,pic004_room,image,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/